evidence_id,relation_id,document_id,paragraph_id,sentence_ids,category,source_url,text,support_count,review_status
ev_0af855b5c5fb,rel_a22e9c04d06d,doc_00020069,par_00020069_0002,sent_00020069_0002_002,第五類【文叢】,https://books.masterhsingyun.org/ArticleDetail/artcle20069,因為世間的財富是有價，出世間的法寶是無價的，法寶可以讓人解脫煩惱，獲得心靈的喜悅。,1,accept_stable_edge
ev_d6d8d8db74a5,rel_4dced513fe19,doc_00006699,par_00006699_0005,sent_00006699_0005_003,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle6699,又若由簡單的因果來推論，要能確信有西方淨土、要深信發願行持往生，則非「宿具善根福德因緣」不可，更何況臨命終時要能得遇善知識教令稱名，要不遭到意外橫死，以及要達到「一心不亂」，則更非具善根福德因緣不可。,1,accept_stable_edge
ev_aee3f8ebd338,rel_c83baa380fe5,doc_00024674,,,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle24674,*139根據滿耕法師的研究，星雲大師領導的佛光道場所創設的制度有：（一）現代化教團制度，（二）宗務委員會制度，（三）本山與別分院制度，（四）一個師承制度，（五）佛光會制度，（六）檀家與檀講師制度，（七）功德主制度，（八）廟產經濟管理制度。,1,auto_keep_stable
ev_eacaf1ac40d6,rel_57a5ae2972b2,doc_00017797,par_00017797_0021,sent_00017797_0021_001;sent_00017797_0021_002;sent_00017797_0021_003,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle17797,「人間佛教」，不能只有「人間」而沒有「佛教」，人間佛教只是強調佛法在世間，不離世間覺。⟂S⟂它一方面必須擔當「人間」使命，另一方面也必須有「出世間」的宗教性和神聖性，才能更好地實現「自覺覺他」、「自度度人」的人間「使命」。⟂S⟂佛教入世擔當「人間使命」，但人間性不應遮蔽其「出世間」的宗教性和神聖性。,1,accept_stable_edge
ev_8885e02d5a7b,rel_53fbb6ce04ee,doc_00003570,,,第五類【文叢】,https://books.masterhsingyun.org/ArticleDetail/artcle3570,四、好事互成：既是好朋友，要互相鼓勵，多關心社會的公益，多幫助宗教的事業，平時有時間，多閱讀一些進德修業的文章，如佛光會提倡的三好運動「做好事、說好話、存好心」；,1,repair_stable_edge
ev_f9414bbdc996,rel_d46256949a74,doc_00018882,par_00018882_0002,sent_00018882_0002_008,第五類【文叢】,https://books.masterhsingyun.org/ArticleDetail/artcle18882,人的錯誤和對立來自於無明，只要『空有』調和，便能照見五蘊皆空，執著事相就不能看到『無我』，要從『無我』才能看見真理。」,1,stage260_llm_adjudicated
ev_5ea67f4f8813,rel_064e99251057,doc_00005804,par_00005804_0128,sent_00005804_0128_001,第八類【日記】,https://books.masterhsingyun.org/ArticleDetail/artcle5804,◎懺悔的法水，可以洗清我們內心的貪欲、瞋恨、愚痴、邪見、嫉妒、貢高我慢等許多惡念，故人若不知懺悔是不能清淨的。,1,stage260_llm_adjudicated
ev_233e6f0159ac,rel_4383aab4f871,doc_00013208,,,第五類【文叢】,https://books.masterhsingyun.org/ArticleDetail/artcle13208,真理是從千差萬別的現象，又回歸於平等之處。,1,auto_keep_stable
ev_4a397ab3270c,rel_3936f7cb0690,doc_00008396,,,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle8396,一九六六年，上月圓覺法師在小白山救仁寺（位於忠清北道丹陽郡）創立天台宗。,1,auto_keep_stable
ev_b625f6def00a,rel_d4a791df8b41,doc_00008419,par_00008419_0017,sent_00008419_0017_001;sent_00008419_0017_002,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle8419,根據佛經記載，佛陀說法並不僅限於人間，例如《地藏經》即記載著佛陀曾到忉利天為母親摩耶夫人說法，當時除了十方諸佛菩薩與會外，尚有三界二十八天的天眾、龍眾、鬼神等眾，以及娑婆世界的海神、江神、河神、樹神、山神、地神等，及諸大鬼王皆集到忉利天中。⟂S⟂此即說明佛教亦有鬼神之說。,1,accept_stable_edge
