claim_evidence_id,claim_id,claim_relation_ids,document_id,paragraph_id,sentence_ids,category,source_url,text,support_count
cev_aef7f9b32b97,claim_513c5c79fbd2,crel_97b72dd24216,doc_00010442,par_00010442_0001,sent_00010442_0001_001;sent_00010442_0001_002,第五類【文叢】,https://books.masterhsingyun.org/ArticleDetail/artcle10442,話說有一個年輕人，平生不喜歡行善，不肯與人結緣，個性懶惰懈怠，卻妄想能夠不勞而獲，坐享萬貫財富。⟂S⟂後來，他死了以後，地獄裡的獄卒就把他到帶一個不知名的地方。,1
cev_06be99b86b82,claim_593592deeb68,crel_94fbc219566e,doc_00000154,par_00000154_0067,sent_00000154_0067_002;sent_00000154_0067_003,第一類【經義】,https://books.masterhsingyun.org/ArticleDetail/artcle154,經云：「三界唯心，萬法唯識。」⟂S⟂說明三界之內，一切萬事萬物都是唯心所現，唯識所變；,1
cev_152991b526eb,claim_9f6a14cc76d3,crel_40046f63123f,doc_00011076,par_00011076_0014,sent_00011076_0014_001,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle11076,過去佛陀曾為勝鬘夫人開示「十大受」，為玉耶女講《玉耶女經》，為末利夫人及許多長者居士說治家之道，所以現在我們應該提倡佛教的居家倫理、社會群我、道德修養、立身處世、慈悲結緣等應世之道，如五戒十善、四攝六度，互相尊重、互相體諒、互相幫助，共存共生等義理、思想，都能幫助我們共同營造和諧圓滿的人生。,1
cev_448d581e3061,claim_3be62dc79a16,crel_f02fd5b2613a,doc_00011715,par_00011715_0002,sent_00011715_0002_003,第五類【文叢】,https://books.masterhsingyun.org/ArticleDetail/artcle11715,當時《大涅槃經》尚未傳至東土，眾人咸認為闡提並無佛性，不能成佛，因此，一般舊派的學者，都認為道生離經叛道，違逆佛旨，便將他逐出僧團，道生當眾起誓：「若我所說，不合經義，必身得惡報；,1
cev_776daffd47d9,claim_cfeac1a03a89,crel_a8442ceccb3c,doc_00015657,par_00015657_0031,sent_00015657_0031_001,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle15657,大師強調信仰宗教的重要，「乃在於宗教能領導生命的大方向，能將生命之流的過去、現在、未來銜接，所以人人都應該有宗教信仰，有信仰才有規範與目標。」,1
cev_e44816f608cf,claim_05b2b4f96d79,crel_e4f6102e1bb6,doc_00003436,par_00003436_0030,sent_00003436_0030_001,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle3436,天台宗說心「一念三千」，唯識家則說一切萬法「唯心所變、唯識所現」。,1
cev_7dabb02f508b,claim_9a8c85e7480d,crel_641cfed3a997,doc_00009905,par_00009905_0146,sent_00009905_0146_001,第一類【經義】,https://books.masterhsingyun.org/ArticleDetail/artcle9905,對於三世諸佛，視同自己無上尊貴的父親，要恭敬不能有憍慢之心，如此，入大眾說法，才能無有障礙。,1
cev_5b6b7411aabd,claim_df451aa94ab0,crel_022b265358f4,doc_00002213,par_00002213_0097,sent_00002213_0097_001,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle2213,答：佛教有「七眾弟子」，第一眾弟子是比丘，就是出家受具足戒的男子；,1
cev_1b9dbcd0251b,claim_52e2fa48dc9f,crel_ac970402a4cc,doc_00000671,par_00000671_0004,sent_00000671_0004_002,第二類【人間佛教論叢】,https://books.masterhsingyun.org/ArticleDetail/artcle671,所以，我在二○○五年寫了「共生吉祥」的春聯向大家賀年，因為生命不是只有一期，必須共同生存，好比沒有父親、母親，就沒有我，沒有別人的幫助，我也無法生存下去，所以要「共生」，人類若能和平、共存、「共生」，才是最「吉祥」，世界也才會延續下去。,1
cev_49a9a9085bba,claim_62406dc94f9c,crel_5e3c9a75d71e,doc_00020347,par_00020347_0008,sent_00020347_0008_001,第五類【文叢】,https://books.masterhsingyun.org/ArticleDetail/artcle20347,過去靠人來救世界，但是現在靠講說、靠財富、靠政治是不夠力量，要靠宗教來救世界，要用慈悲、愛來止息戰爭，能包容、尊重，大家就能和平相處。」,1
cev_f7183a0f2230,claim_254538fcb1bf,crel_9ea6460bfc3a,doc_00023639,par_00023639_0005,sent_00023639_0005_001;sent_00023639_0005_002;sent_00023639_0005_003,第九類【佛光山系列】,https://books.masterhsingyun.org/ArticleDetail/artcle23639,他告訴我，是聽到心定和尚說：「你們是兼職的義工，我們（出家人）才是全職的義工。」⟂S⟂便決定來山就讀佛學院，並於二○○六年一月發心跟隨我出家，二○○八年十二月在西來寺受具足戒。⟂S⟂雖然他的父母親非常不捨，但是慧裴安分守道，並以我弘揚人間佛教的實例，不斷提供給他的家人知道，讓父親及家人放心他在這裡出家，奉獻自己的生命。,1
cev_cc9123b48881,claim_e46afdb69c25,crel_ec17837692b2,doc_00017798,par_00017798_0088,sent_00017798_0088_002;sent_00017798_0088_003,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle17798,雖有智慧而無福德，亦不可以自利利他。⟂S⟂故須具行三檀也。,1
cev_3e97a54994c1,claim_cf3442eb8ec8,crel_6d91c5b4a004,doc_00010885,par_00010885_0103,sent_00010885_0103_003,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle10885,又說這麼多人出國，來來去去，應該開個旅行社，我認為佛光山給信徒方便，鼓勵信徒開旅行社未嘗不可，但是本山不能以開旅行社賺錢為主要工作。,1
cev_4d2b2fd80d61,claim_296fb1df8906,crel_ee5755b53200,doc_00020551,,,第九類【佛光山系列】,https://books.masterhsingyun.org/ArticleDetail/artcle20551,自從佛光山提倡義工以來，台灣的社會風氣，尤其佛教裡，風起雲湧的義工，一波一波而來。,1
