claim_relation_id,source_id,source_name,source_type,relation_type,relation_label,target_id,target_name,target_type,usage,layer,mention_count,document_count,paragraph_count,sentence_count,category_count,evidence_count,example_text,example_url
crel_9aef554a4db2,ent_55074d5fb162,一切萬法,DoctrineTerm,entity_explained_by_claim,实体由语境命题解释,claim_d4326f1ea17d,教科書斷言山河大地乃至一切萬法皆為唯心所變、唯識所現；作者承認此理難使一般人信服，但認為佛教勝於世法之處在於運用心力，且將這種心力評為超科學、出世。,InterpretiveClaim,evidence_usable,claim_evidence_graph,1,1,1,1,1,1,山河大地乃至一切萬法都是唯心所變，唯識所現，這個道理有時卻很難為一般人所信服，然而佛教之所以勝於世法，便在於佛教的使用「心力」，是超科學的，是出世的。,https://books.masterhsingyun.org/ArticleDetail/artcle6841
crel_e4f6102e1bb6,ent_55074d5fb162,一切萬法,DoctrineTerm,entity_explained_by_claim,实体由语境命题解释,claim_05b2b4f96d79,天台宗說心具「一念三千」；唯識家則主張一切萬法是「唯心所變、唯識所現」。,InterpretiveClaim,evidence_usable,claim_evidence_graph,1,1,1,1,1,1,天台宗說心「一念三千」，唯識家則說一切萬法「唯心所變、唯識所現」。,https://books.masterhsingyun.org/ArticleDetail/artcle3436
crel_66114c3507f8,ent_56db144ad988,一切有為法,DoctrineTerm,entity_explained_by_claim,实体由语境命题解释,claim_88bbe30ab271,「一切有為法，如夢幻泡影……」只是諸家對「四句偈」的多種指認之一，原文強調眾說紛紜、無有定論；作者認為不應執著文字，佛陀用意在說明受持此經、即使僅受持最短四句，所得福德仍勝過布施三千大千世界七寶。,InterpretiveClaim,evidence_usable,claim_evidence_graph,1,1,1,1,1,1,四句偈，指的是哪四句呢？⟂S⟂諸家所說各有不同，議論紛紛，有人認為是前分的「不可取、不可說，非法、非非法」；⟂S⟂有的認定是「若以色見我，以音聲求我，是人行邪道，不能見如來」；⟂S⟂也有人指為是「一切有為法，如夢幻泡影，如露亦如電，應作如是觀」。⟂S⟂眾說紛紜，無有定論。⟂S⟂其實，我們切勿被文字所迷惑，讀經者要善於「轉經」，而不是「被經轉」！⟂S⟂佛陀說的四句偈，原無定法，他的用意只是要表明受持此經的福德無量，即使僅受持經中最短少的四句，所獲的福德仍然要勝過布施三千大千世界的七寶。⟂S⟂《堅意經》說：,https://books.masterhsingyun.org/ArticleDetail/artcle272
crel_73bc7f78e283,ent_56db144ad988,一切有為法,DoctrineTerm,entity_explained_by_claim,实体由语境命题解释,claim_cac73a903da7,作者先將世間一切諸法、萬有萬象解釋為幻化、虛假、不真實，並以反問引出應如何看待世間；隨後引用《金剛經》以「如夢幻泡影、如露亦如電」譬喻一切有為法，要求作如是觀。,InterpretiveClaim,evidence_usable,claim_evidence_graph,1,1,1,1,1,1,這首四句偈一開始就告訴我們「一切法如幻」，因此聰明的人不應該對世間的種種，過於執著，甚至生起煩惱。⟂S⟂世間一切的諸法，萬有萬象的世界，都是幻化的、虛假的、不真實的，那我們應該如何看待這個世間？⟂S⟂就像《金剛經》所說的：「一切有為法，如夢幻泡影，如露亦如電，應作如是觀。」,https://books.masterhsingyun.org/ArticleDetail/artcle13941
crel_c8217a499fe1,ent_56db144ad988,一切有為法,DoctrineTerm,entity_explained_by_claim,实体由语境命题解释,claim_b564312397b0,即使一个人自称不贪权势名位、不羡高官厚禄、不受物质与人事好坏所动，仍因世间一切有为法迁流不住、刹那生灭、无法常住安稳而使身心受无常逼恼；作者把这种处境称为“行苦”。,InterpretiveClaim,evidence_usable,claim_evidence_graph,1,1,1,1,1,1,也許有人會說，我不求聞達於諸侯，是個安於平凡的人，既不貪愛權勢名位，也不羨慕高官厚祿，我能甘於澹泊，不被外在的物質有無，不受人事的好壞所動，因此能夠無憂無喜的過日子。⟂S⟂然而一個人即使有此修養，只是世間一切有為法都是遷流不住，都是剎那生滅，無法常住安穩，因此身心仍不免受到無常的逼惱，而有「世事無常」的慨嘆，這就是「行苦」。,https://books.masterhsingyun.org/ArticleDetail/artcle425
crel_ac2cc1a68cfb,ent_56db144ad988,一切有為法,DoctrineTerm,entity_explained_by_claim,实体由语境命题解释,claim_7476c3badefb,一切有為法是因緣所生的假有而本性空，因此不應從假象執有，應由假有認識空性；同時也不應執空，因為緣起法雖是幻有、假有卻並非虛無，從空性仍可見妙有，作者以此說明空有不二。,InterpretiveClaim,evidence_usable,claim_evidence_graph,1,1,1,1,1,1,一切有為法都是因緣所生的假有，本性是空，因此不能從假象上執有，應該從假有中認識空性，但是也不能從空性中執空，因為儘管緣起法是幻有、假有，但也並非虛無，我們可以從空性中看到妙有，這就是「空有不二」。,https://books.masterhsingyun.org/ArticleDetail/artcle3983
crel_ce29b14bc85f,ent_56db144ad988,一切有為法,DoctrineTerm,entity_explained_by_claim,实体由语境命题解释,claim_b48e1d9e1e26,作者把前文微塵、世界之喻解作去除眾生對依報的妄想，又把如來三十二相解作掃蕩眾生對正報的執著，並由此總結經文要眾生離卻一切有為法、如法奉持無為的金剛般若。,InterpretiveClaim,evidence_usable,claim_evidence_graph,1,1,1,1,1,1,第五分中說到：「不可以身相得見如來。⟂S⟂……凡所有相，皆是虛妄，若見諸相非相，即見如來。」⟂S⟂經文旨在揭示「諸相非如來身相」，如今此分再度肯定，眾生不應住著如來的三十二應化身，以為此即如來寂滅之相。⟂S⟂前文以微塵、世界之喻，除淨眾生依報之妄想；⟂S⟂今以如來三十二相，掃蕩眾生正報之執，凡此，無非苦口婆心要眾生離卻一切有為法，而如法奉持無為的金剛般若。,https://books.masterhsingyun.org/ArticleDetail/artcle292
crel_65ddd9c197b2,ent_56db144ad988,一切有為法,DoctrineTerm,entity_explained_by_claim,实体由语境命题解释,claim_1552cc25ecff,《金剛經》以「如夢幻泡影、如露亦如電」譬喻一切有為法；作者進一步說明世間萬有與一切法都不長久，也不真實。,InterpretiveClaim,evidence_usable,claim_evidence_graph,1,1,1,1,1,1,所以《金剛經》說：「一切有為法，如夢幻泡影，如露亦如電，應作如是觀。」⟂S⟂說明了世間萬有、一切法都如夢幻泡影，不長久，也不真實。,https://books.masterhsingyun.org/ArticleDetail/artcle13796
crel_1aab148ad1fb,ent_56db144ad988,一切有為法,DoctrineTerm,entity_has_condition_claim,实体具有条件或范围命题,claim_c7a96b7bc5e0,《金剛經》以「如夢幻泡影、如露亦如電」說明一切有為法不長久、也不真實。,InterpretiveClaim,evidence_usable,claim_evidence_graph,1,1,1,1,1,1,所以《金剛經》說：「一切有為法，如夢幻泡影，如露亦如電，應作如是觀。」⟂S⟂說明了世間萬有、一切法都如夢幻泡影，不長久，也不真實。,https://books.masterhsingyun.org/ArticleDetail/artcle13796
crel_67f008a7b17a,ent_56db144ad988,一切有為法,DoctrineTerm,entity_has_condition_claim,实体具有条件或范围命题,claim_1c4a55bc2e77,文中先說任何事物之所以成為該事物，是諸種條件合成的結果；並引《佛教的真理》說，世間一切有為法都無獨立性與恆常性，必須由「因」和「緣」和合才有「果」。,InterpretiveClaim,evidence_usable,claim_evidence_graph,1,1,1,1,1,1,「緣起」是佛法的根本道理，任何事物成為這種事物，這都是諸種條件合成的結果，正如《佛教的真理》中說：「世間一切有為法皆無獨立性、恆常性，必須靠『因』和『緣』和合才有『果』。」,https://books.masterhsingyun.org/ArticleDetail/artcle17791
