claim_id,text,claim_type,node_class,semantic_role,document_id,paragraph_id,sentence_ids,category,source_url,evidence_count
claim_c9cbce5ee594,星云认为今日佛子应把握时代与交通条件，效法诸佛菩萨「不请之友」的精神，以积极主动的态度促成大法西来，使佛陀教法遍及西方、润泽群生；并希望到西来寺弘法的弟子始终以度众为先。,ContextualInterpretiveProposition,InterpretiveClaim,contextual_interpretive_proposition,doc_00021627,par_00021627_0004,sent_00021627_0004_001,第五類【文叢】,https://books.masterhsingyun.org/ArticleDetail/artcle21627,1
claim_7dbf4226dddc,作者把龍樹、惠能、太虛描述為重新開啟人間佛教傳統的重要人物，同時明確承認他們受時代社會、政治、宗教與地理條件限制，未能全面落實所悟證的人間佛教：龍樹未能建立獨立的大乘菩薩僧團，太虛承認改革失敗及理論有餘而實踐不足，惠能禪法雖獲弘揚卻主要局限於僧團和少數文人士大夫。作者據此把建立菩薩僧團、向僧團外普及禪法及全面推行人間佛教列為待完成使命，並說星雲大師與佛光山正以倡導人間佛教、以禪為實踐基礎、建立大乘佛光僧團、創立佛光佛教及把佛法帶入生活與心靈等方式完成此使命。,ContextualInterpretiveProposition,InterpretiveClaim,contextual_interpretive_proposition,doc_00017804,par_00017804_0021,sent_00017804_0021_001,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle17804,1
claim_d91da3feee44,星云大师基于人才永续经营理念，在国内创办佛学院并遴选僧众出国进修。,ContextualInterpretiveProposition,InterpretiveClaim,contextual_interpretive_proposition,doc_00017787,,,第十二類【附錄】,https://books.masterhsingyun.org/ArticleDetail/artcle17787,1
claim_c07c78137687,達賴喇嘛以西藏政教領袖身分獲得諾貝爾和平獎，被作者稱為他的成就與佛教的榮耀；「他的獲獎」唯一回指達賴喇嘛，作者據此希望中國共產黨重新思考西藏與中國大陸的關係，雙方放棄執著並用佛法解決問題，末句以反詰表達如此方可達到和平。,ContextualInterpretiveProposition,InterpretiveClaim,contextual_interpretive_proposition,doc_00010742,par_00010742_0008,sent_00010742_0008_001,第九類【佛光山系列】,https://books.masterhsingyun.org/ArticleDetail/artcle10742,1
claim_77f16012c798,人間佛教不是標新立異，而是復興佛法的根本。,ContextualInterpretiveProposition,InterpretiveClaim,contextual_interpretive_proposition,doc_00006710,par_00006710_0002,sent_00006710_0002_001,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle6710,1
claim_01d7c6d42abb,身体是四大五蘊和合而有,ContextualInterpretiveProposition,InterpretiveClaim,contextual_interpretive_proposition,doc_00014635,par_00014635_0011,sent_00014635_0011_002,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle14635,1
claim_1b7f18d95360,僅具足五通不能變化，所度未廣，不能降化邪見與大福德之人。,ContextualInterpretiveProposition,InterpretiveClaim,contextual_interpretive_proposition,doc_00004064,par_00004064_0013,sent_00004064_0013_006,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle4064,1
claim_a22f819438f1,一般人有「我」,ContextualInterpretiveProposition,InterpretiveClaim,contextual_interpretive_proposition,doc_00019970,par_00019970_0003,sent_00019970_0003_001,第五類【文叢】,https://books.masterhsingyun.org/ArticleDetail/artcle19970,1
claim_604fe2e246e3,必須培植相當的福德因緣；過去不具足者可從現在發心培養。,ContextualInterpretiveProposition,InterpretiveClaim,contextual_interpretive_proposition,doc_00016142,par_00016142_0007,sent_00016142_0007_003,第四類【講演集】,https://books.masterhsingyun.org/ArticleDetail/artcle16142,1
claim_38e167e91e7b,據《大悲心陀羅尼經》，觀世音菩薩聞千光王靜住如來所說大悲心陀羅尼後超地歡喜，遂發在身上具千手千眼以利益安樂一切眾生的大誓願，並應時具足千手千眼。,ContextualInterpretiveProposition,InterpretiveClaim,contextual_interpretive_proposition,doc_00014575,par_00014575_0009,sent_00014575_0009_002,第三類【教科書】,https://books.masterhsingyun.org/ArticleDetail/artcle14575,1
