relation_type,label,definition,source_types,target_types,direction,projection,analytics_policy,status
activity_occurs_at_place,活动发生于地点,source 活动、会议、法会、讲座、课程、弘法或实践项目明确发生、举办、举行、召开或开展于 target 地点或机构场所。它是传播空间证据，不等同于机构地址或机构主办关系。,Activity;PracticeActivity,Institution;PlaceRealm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
activity_serves_group,活动或实践服务群体,Stage261-A依据原文证据审定的关系；仅在实体角色、方向及谓词语义均明确时成立。,PracticeActivity,Group;RoleTitle,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
buddhist_figure_establishes_precept,佛教人物制定戒律,原文证据支持“佛教人物制定戒律”这一语义关系。,BuddhistFigure,Classic;Concept;DoctrineTerm;PracticeActivity,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
buddhist_figure_has_auspicious_mark,佛教人物具足相好,source BuddhistFigure 被原文明確表述為具有、具足或成就 target DoctrineTerm 所代表的可辨識相好或身相標誌；方向由人物指向相好，不等同於證得抽象境界、一般性格屬性或修行結果本身。,BuddhistFigure,Concept;DoctrineTerm,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
claim_requires_condition,命题成立需要条件,目标命题是来源命题成立或实现的必要条件,InterpretiveClaim,InterpretiveClaim,directed,claim_evidence_graph,never_centrality_eligible,active_claim_relation
claim_revises_claim,后一命题修正或反驳前一命题,后一完整命题修正否定或重释前一完整命题,InterpretiveClaim,InterpretiveClaim,directed,claim_evidence_graph,never_centrality_eligible,active_claim_relation
claim_supports_claim,前一命题支持后一命题,前一完整命题构成后一完整命题的理由依据或论据,InterpretiveClaim,InterpretiveClaim,directed,claim_evidence_graph,never_centrality_eligible,active_claim_relation
classic_interpreted_as_doctrine,经典被阐释为教义或主张,source 经典在文本中被解释、引用或概括为说明、揭示、支持、开示、指出 target 教义、概念、实践或解释性主张。本关系描述经典作为思想证据的方向，不等同于人物讲经、经典记载人物、书目主题或简单共现。,Classic,Concept;DoctrineTerm;InterpretiveClaim;PlaceRealm;PracticeActivity,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
classic_part_of_classic,经典篇章隶属于经典,某一經典或文本被原文明確表述為篇章、段落或收攝文本而隸屬、編入另一經典；不表示兩經教義等同、類別成員或書目共現。,Classic,Classic,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
classic_preached_at_place,经典宣说于地点,source Classic 所代表的經典教法被原文明確表述為在 target PlaceRealm 宣說、講出或公布；方向由經典指向宣說地點，不等同於經典收藏地、人物在該地講經或題名與地名共現。,Classic,PlaceRealm,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
